,fname,category
0,S_S95_01_BdH1_-_ (17).wav,Kick
1,KICK - BLOCKA.wav,Kick
2,Do What U Do Kick 1.wav,Kick
3,CANTHEM Kick 2.wav,Kick
4,KICK - TEEN SPIRT.wav,Kick
5,S_S95_01_BdH1__ (88).wav,Kick
6,S_S95_01_BdH1__ (67).wav,Kick
7,MB Kick (4).wav,Kick
8,TE-Kick_9.wav,Kick
9,JOHNSON Kick 2.wav,Kick
10,NM - Costly Kick.wav,Kick
11,JB - Kick (28).wav,Kick
12,Kick (7).wav,Kick
13,ROCK BOYS Kick 1.wav,Kick
14,S_S95_01_BdH1_-_ (40).wav,Kick
15,SHAPE Kick.wav,Kick
16,S_S95_01_BdH1__ (30).wav,Kick
17,NM - Frosty Kick.wav,Kick
18,S_S95_01_BdH1_-_ (56).wav,Kick
19,JB - Kick (6).wav,Kick
20,NM - Nosty Kick.wav,Kick
21,S_S95_01_BdH1__ (26).wav,Kick
22,BWB WAV R US KICK (15).wav,Kick
23,Alex [Kick].wav,Kick
24,OVER Trio Kick.wav,Kick
25,OFFENSE DISS kick 1.wav,Kick
26,KC - Eurp Kick.wav,Kick
27,SOCAN Trio Kick.wav,Kick
28,S_S95_01_BdH1__ (71).wav,Kick
29,GOODNESS KICK.wav,Kick
30,VIDEO GAME Kick 1.wav,Kick
31,HOMETOWN Trio Kick.wav,Kick
32,S_S95_01_BdH1_-_ (95).wav,Kick
33,DT - Evil (Kick).wav,Kick
34,BESTIEVAHAD Trio Kick.wav,Kick
35,MB Kick (40).wav,Kick
36,JB - Kick (12).wav,Kick
37,Midnight Duo Kick.wav,Kick
38,BWB WAV R US KICK (2).wav,Kick
39,MB Kick (17).wav,Kick
40,NM - Brudda Kick.wav,Kick
41,RIGHT BACK Kick.wav,Kick
42,NM - Yump Kick.wav,Kick
43,KICK - WONDA.wav,Kick
44,TE-Kick_8.wav,Kick
45,DT - Farewell (Kick).wav,Kick
46,MOBBIN Kick 4.wav,Kick
47,CANTHEM Kick 3.wav,Kick
48,S_S95_01_BdH1_-_ (83).wav,Kick
49,Hbc_K.wav,Kick
50,DRAKENJEEZY Trio Kick 2.wav,Kick
51,S_S95_01_BdH1__ (84).wav,Kick
52,MB Kick (8).wav,Kick
53,Do What U Do Kick 2.wav,Kick
54,MB Kick (21).wav,Kick
55,CANTHEM Kick 1.wav,Kick
56,S_S95_01_BdH1__ (3).wav,Kick
57,JOHNSON Kick 1.wav,Kick
58,MY TIME Kick.wav,Kick
59,ROCK BOYS Kick 2.wav,Kick
60,JB - Kick (24).wav,Kick
61,BESTIEVAHAD kick 3.wav,Kick
62,BWB WAV R US KICK (19).wav,Kick
63,KC - Atlanta Kick.wav,Kick
64,MOBBIN Trio Kick.wav,Kick
65,KC - LA Kick.wav,Kick
66,S_S95_01_BdH1__ (92).wav,Kick
67,MB Kick (37).wav,Kick
68,OFFENSE DISS kick 2.wav,Kick
69,KERI Quad Kick.wav,Kick
70,VIDEO GAME Kick 3.wav,Kick
71,VIDEO GAME Kick 2.wav,Kick
72,1 NIGHT Duo Kick.wav,Kick
73,OFFENSE DISS kick 3.wav,Kick
74,S_S95_01_BdH1_-_ (76).wav,Kick
75,Batman Duo Kick.wav,Kick
76,Peaces Kick.wav,Kick
77,S_S95_01_BdH1__ (51).wav,Kick
78,Kick (11).wav,Kick
79,S_S95_01_BdH1_-_ (21).wav,Kick
80,S_S95_01_BdH1__ (47).wav,Kick
81,BLAST Kick.wav,Kick
82,KC - Beef Kick.wav,Kick
83,KICK - VIP.wav,Kick
84,BESTIEVAHAD kick 2.wav,Kick
85,S_S95_01_BdH1_-_ (37).wav,Kick
86,1MONITE kick.wav,Kick
87,ROCK BOYS Kick 3.wav,Kick
88,UPALLNIGHT Kick 2.wav,Kick
89,BOUNCIE Kick 1.wav,Kick
90,S_S95_01_BdH1__ (10).wav,Kick
91,CLUBBY Trio Kick.wav,Kick
92,KC - Wonda Kick.wav,Kick
93,S_S95_01_BdH1_-_ (60).wav,Kick
94,BD_Waffle.wav,Kick
95,Dudley [Kick].wav,Kick
96,KICK - LOGIC.wav,Kick
97,DRAKENJEEZY Kick 2.wav,Kick
98,S_S95_01_BdH1_-_ (61).wav,Kick
99,KC - Click Kick.wav,Kick
100,MOBBIN Kick 3.wav,Kick
101,S_S95_01_BdH1__ (11).wav,Kick
102,CANTHEM Kick 4.wav,Kick
103,S_S95_01_BdH1_-_ (36).wav,Kick
104,NM - Denim Kick.wav,Kick
105,KARTEL Kick.wav,Kick
106,Jazzwinder Trio Kick.wav,Kick
107,S_S95_01_BdH1__ (46).wav,Kick
108,BD_FungiSeason_Filter.wav,Kick
109,BD_Boom2.wav,Kick
110,S_S95_01_BdH1_-_ (20).wav,Kick
111,S_S95_01_BdH1__ (50).wav,Kick
112,City is Mine Kick.wav,Kick
113,Kick (10).wav,Kick
114,Reptile [Kick].wav,Kick
115,MONEY UP Kick 1.wav,Kick
116,S_S95_01_BdH1_-_ (77).wav,Kick
117,BDRvs_ENAT.wav,Kick
118,Ben_K.wav,Kick
119,DRAKE IDEA Kick.wav,Kick
120,FLASHING Trio Kick.wav,Kick
121,Raiden [Kick].wav,Kick
122,S_S95_01_BdH1_-_ (98).wav,Kick
123,KC - Codeine Kick.wav,Kick
124,Frequently kick.wav,Kick
125,BD_Color1.wav,Kick
126,AUNTY Duo Kick.wav,Kick
127,S_S95_01_BdH1__ (93).wav,Kick
128,FLAWLESS Kick 1.wav,Kick
129,Sty Fly_3 Kick 2.wav,Kick
130,NM - Pull (Kick).wav,Kick
131,DT - Reggie (Kick).wav,Kick
132,KC - NYC Kick.wav,Kick
133,You & Tomorrow Kick 1.wav,Kick
134,NM - Endless (Kick).wav,Kick
135,BWB WAV R US KICK (18).wav,Kick
136,JB - Kick (25).wav,Kick
137,KICK - MEAT.wav,Kick
138,FORVER Duo Kick.wav,Kick
139,FIT Duo Kick.wav,Kick
140,Sonya [Kick].wav,Kick
141,MOBBIN Kick 2.wav,Kick
142,S_S95_01_BdH1__ (2).wav,Kick
143,S_S95_01_BdH1__ (85).wav,Kick
144,CANTHEM Trio Kick.wav,Kick
145,DRAKENJEEZY Kick 3.wav,Kick
146,MB Kick (9).wav,Kick
147,Grnd_K.wav,Kick
148,NM - Wus Good Kick.wav,Kick
149,BD_FungiSeason.wav,Kick
150,LORDAMERCI KICK.wav,Kick
151,S_S95_01_BdH1_-_ (82).wav,Kick
152,DT - Burn (Kick).wav,Kick
153,BUYOU Kick.wav,Kick
154,ROCK BOYS Kick 4.wav,Kick
155,BD_Boom1.wav,Kick
156,Batman Tripo Kick.wav,Kick
